Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
C2H5CN (20 3 18 _ 21 0 21) 	55001	70961.937	100.38	2.29E-8	0.000E0	0	0.00E0	
CH3CHO (17 2 16 0 _ 16 3 13 0) 	44003	70965.337	149.961	3.16E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (11 1 10 1 _ 11 1 11 1) 	46524	70968.339	118.952	1.48E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 3 2 _ 5 1 4 2) 	46524	70976.850	17.671	2.64E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 13 1 0 _ 14 12 2 1) 	58003	70977.810	96.91	4.25E-6	0.000E0	0	0.00E0	
C2H5CN (8 0 8 _ 7 0 7) 	55001	70979.637	15.387	2.90E-5	0.000E0	0	0.00E0	
C8H (60 1 60.5 61 _ 59 -1 59.5 60) 	97501	70982.482	104.651	8.72E-5	0.000E0	0	0.00E0	
C8H (60 1 60.5 60 _ 59 -1 59.5 59) 	97501	70982.500	104.651	8.71E-5	0.000E0	0	0.00E0	
C8H (60 -1 60.5 61 _ 59 1 59.5 60) 	97501	70984.443	104.653	8.72E-5	0.000E0	0	0.00E0	
C8H (60 -1 60.5 60 _ 59 1 59.5 59) 	97501	70984.461	104.653	8.72E-5	0.000E0	0	0.00E0	
CH3OCH3 (12 2 11 0 _ 11 3 8 0) 	46008	70984.900	76.282	3.51E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 10 1 0 0 _ 11 9 3 0 0) 	60523	70987.696	67.417	1.05E-9	0.000E0	0	0.00E0	
CH3OCH3 (12 2 11 1 _ 11 3 8 1) 	46008	70987.890	76.282	3.51E-7	0.000E0	0	0.00E0	
C3H7CN (16 2 14 0 _ 15 2 13 0) 	69002	70988.769	33.031	2.57E-5	0.000E0	0	0.00E0	
CH3OCH3 (12 2 11 2 _ 11 3 8 2) 	46008	70990.850	76.282	3.51E-7	0.000E0	0	0.00E0	
CH3OCH3 (12 2 11 3 _ 11 3 8 3) 	46008	70990.850	76.282	3.51E-7	0.000E0	0	0.00E0	
C7H (41 -1 40.5 40 _ 40 1 39.5 39) 	85501	70991.585	108.238	7.26E-5	0.000E0	0	0.00E0	
