Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
C7H (41 -1 40.5 41 _ 40 1 39.5 40) 	85501	70991.606	108.238	7.26E-5	0.000E0	0	0.00E0	
C7H (41 1 40.5 40 _ 40 -1 39.5 39) 	85501	70991.754	108.238	7.26E-5	0.000E0	0	0.00E0	
C7H (41 1 40.5 41 _ 40 -1 39.5 40) 	85501	70991.776	108.238	7.26E-5	0.000E0	0	0.00E0	
C2H5CN (3 2 2 _ 3 1 3) 	55001	71002.065	7.028	1.30E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 4 3 1 0 _ 7 3 5 1 0) 	60524	71012.017	130.435	9.64E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 8 7 0 2 _ 14 7 8 0 1) 	60523	71020.598	91.884	2.24E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 11 3 0 2 _ 13 13 0 0 1) 	60523	71036.560	100.8	2.23E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 6 7 0 0 _ 13 6 8 0 0) 	60523	71055.058	78.41	3.67E-7	0.000E0	0	0.00E0	
HC7N (63 63 _ 62 63) 	99002	71058.693	109.134	1.30E-8	0.000E0	0	0.00E0	
HC7N (63 62 _ 62 61) 	99002	71060.226	109.134	5.18E-5	0.000E0	0	0.00E0	
HC7N (63 63 _ 62 62) 	99002	71060.226	109.134	5.18E-5	0.000E0	0	0.00E0	
HC7N (63 64 _ 62 63) 	99002	71060.226	109.134	5.18E-5	0.000E0	0	0.00E0	
HC7N (63 62 _ 62 62) 	99002	71061.783	109.134	1.33E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 2 6 1 0 _ 7 3 4 1 0) 	60524	71076.751	132.408	5.06E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 6 7 0 0 _ 13 5 8 0 0) 	60523	71090.988	78.41	2.09E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 11 3 0 0 _ 14 10 5 0 0) 	60523	71096.627	101.112	1.26E-7	0.000E0	0	0.00E0	
CH3COCH3 (6 4 2 0 _ 5 5 1 1) 	58003	71108.114	17.438	3.28E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 13 2 0 _ 15 12 4 1) 	58003	71110.950	107.428	1.51E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 6 7 0 2 _ 13 6 8 0 1) 	60523	71120.216	78.124	3.80E-7	0.000E0	0	0.00E0	
C8H (61 1 60.5 60 _ 60 -1 59.5 59) 	97501	71121.853	132.738	8.77E-5	0.000E0	0	0.00E0	
C8H (61 1 60.5 61 _ 60 -1 59.5 60) 	97501	71121.869	132.738	8.77E-5	0.000E0	0	0.00E0	
C8H (61 -1 60.5 60 _ 60 1 59.5 59) 	97501	71130.144	132.766	8.77E-5	0.000E0	0	0.00E0	
C8H (61 -1 60.5 61 _ 60 1 59.5 60) 	97501	71130.159	132.766	8.78E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 6 8 1 _ 14 5 9 1) 	58003	71133.234	79.824	7.71E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 6 8 1 _ 14 5 9 2) 	58003	71134.695	79.824	7.71E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 3 6 1 0 _ 7 3 4 1 0) 	60524	71138.275	132.411	3.43E-9	0.000E0	0	0.00E0	
C8H- (61 _ 60) 	97502	71163.606	105.878	2.25E-4	0.000E0	0	0.00E0	
CH3COCH3 (14 13 1 0 _ 14 12 2 0) 	58003	71165.319	96.843	4.28E-6	0.000E0	0	0.00E0	
C6H (26 -1 25.5 _ 25 1 24.5) 	73501	71176.466	67.378	6.31E-5	0.000E0	0	0.00E0	
C2H3CHO (8 2 7 0 _ 7 2 6 0) 	56008	71178.871	23.612	1.72E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 6 7 0 2 _ 13 5 8 0 1) 	60523	71179.351	78.124	2.10E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 13 2 0 _ 14 12 3 0) 	58003	71194.577	96.843	4.28E-6	0.000E0	0	0.00E0	
C2H5CN (4 3 1 _ 5 2 4) 	55001	71209.607	14.31	2.13E-7	0.000E0	0	0.00E0	
C6H (26 1 25.5 _ 25 -1 24.5) 	73501	71216.384	67.418	6.32E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 6 8 0 _ 14 5 9 1) 	58003	71217.506	79.764	7.75E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 8 7 0 2 _ 14 6 8 0 1) 	60523	71220.869	91.884	3.84E-7	0.000E0	0	0.00E0	
CH3COCH3 (11 5 6 0 _ 10 8 2 1) 	58003	71225.831	50.989	1.41E-8	0.000E0	0	0.00E0	
C2H3CHO (8 7 1 0 _ 7 7 0 0) 	56008	71231.658	116.232	4.32E-6	0.000E0	0	0.00E0	
C2H3CHO (8 7 2 0 _ 7 7 1 0) 	56008	71231.658	116.232	4.32E-6	0.000E0	0	0.00E0	
C2H3CHO (8 6 2 0 _ 7 6 1 0) 	56008	71231.860	89.484	8.07E-6	0.000E0	0	0.00E0	
C2H3CHO (8 6 3 0 _ 7 6 2 0) 	56008	71231.860	89.484	8.07E-6	0.000E0	0	0.00E0	
C2H3CHO (8 5 3 0 _ 7 5 2 0) 	56008	71233.724	66.847	1.12E-5	0.000E0	0	0.00E0	
C2H3CHO (8 5 4 0 _ 7 5 3 0) 	56008	71233.724	66.847	1.12E-5	0.000E0	0	0.00E0	
C2H3CHO (8 4 5 0 _ 7 4 4 0) 	56008	71238.942	48.323	1.38E-5	0.000E0	0	0.00E0	
C2H3CHO (8 4 4 0 _ 7 4 3 0) 	56008	71238.959	48.323	1.38E-5	0.000E0	0	0.00E0	
C2H3CHO (8 3 6 0 _ 7 3 5 0) 	56008	71251.362	33.915	1.59E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 3 0 _ 3 1 2 0) 	46524	71252.124	66.661	2.81E-6	0.000E0	0	0.00E0	
C2H3CHO (8 3 5 0 _ 7 3 4 0) 	56008	71254.842	33.915	1.59E-5	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (7 0 7 1 _ 6 2 4 2) 	32504	71260.386	78.077	8.86E-11	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 3 4 0 1 _ 6 5 1 0 2) 	60523	71262.771	23.785	2.02E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 4 3 1 0 _ 7 2 5 1 0) 	60524	71269.001	130.435	5.56E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 2 2 0 _ 4 1 3 0) 	46524	71270.781	70.082	2.37E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 7 8 1 _ 14 6 9 2) 	58003	71279.840	79.832	7.76E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 7 8 1 _ 14 6 9 1) 	58003	71280.183	79.832	7.76E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 4 3 1 0 _ 5 4 1 1 0) 	60524	71289.610	123.678	8.95E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 6 8 0 _ 14 5 9 0) 	58003	71300.950	79.704	7.78E-6	0.000E0	0	0.00E0	
CH3OCHO (17 4 13 2 _ 17 3 14 2) 	60003	71304.063	103.152	7.63E-7	0.000E0	0	0.00E0	
CH3OCHO (15 3 12 2 _ 15 2 13 2) 	60003	71309.952	79.339	6.50E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 3 1 _ 3 1 2 1) 	46524	71311.456	71.328	2.92E-6	0.000E0	0	0.00E0	
CH3OCHO (17 4 13 0 _ 17 3 14 0) 	60003	71324.691	103.145	7.63E-7	0.000E0	0	0.00E0	
CH3OCHO (15 3 12 0 _ 15 2 13 0) 	60003	71349.511	79.329	6.50E-7	0.000E0	0	0.00E0	
CH3COCH3 (14 7 8 0 _ 14 6 9 1) 	58003	71367.862	79.772	7.80E-6	0.000E0	0	0.00E0	
C3H7CN (15 2 14 0 _ 15 1 15 0) 	69002	71372.335	29.572	9.41E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 5 1 0 2 _ 6 2 4 0 1) 	60523	71411.273	20.364	7.21E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 5 1 1 0 _ 5 3 2 1 0) 	60524	71422.480	122.197	3.03E-8	0.000E0	0	0.00E0	
C2H3CHO (8 2 6 0 _ 7 2 5 0) 	56008	71432.508	23.643	1.74E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 5 3 0 0 _ 6 6 0 0 0) 	60523	71446.103	26.017	1.62E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 10 7 0 2 _ 16 8 8 0 1) 	60523	71448.159	122.21	3.59E-7	0.000E0	0	0.00E0	
CH3COCH3 (14 7 8 0 _ 14 6 9 0) 	58003	71455.636	79.712	7.83E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 8 9 0 0 _ 16 12 5 0 0) 	60523	71459.195	131.822	2.40E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 5 9 0 0 _ 13 8 6 0 0) 	60523	71473.959	84.799	1.07E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 6 9 0 0 _ 13 8 6 0 0) 	60523	71480.419	84.799	2.29E-9	0.000E0	0	0.00E0	
C2H5CN (8 2 7 _ 7 2 6) 	55001	71500.607	19.903	2.78E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 8 4 0 0 _ 12 7 6 0 0) 	60523	71559.894	72.103	5.05E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (3 3 1 1 1 _ 2 1 2 1 2) 	60524	71566.520	119.267	1.08E-8	0.000E0	0	0.00E0	
C3H7CN (16 1 15 0 _ 15 1 14 0) 	69002	71569.429	30.243	2.67E-5	0.000E0	0	0.00E0	
CH3C5N (46 3 46 _ 45 3 45) 	89501	71572.604	148.664	6.13E-5	0.000E0	0	0.00E0	
CH3C5N (46 3 45 _ 45 3 44) 	89501	71572.605	148.664	6.13E-5	0.000E0	0	0.00E0	
CH3C5N (46 3 47 _ 45 3 46) 	89501	71572.606	148.664	6.13E-5	0.000E0	0	0.00E0	
CH3C5N (46 2 45 _ 45 2 44) 	89501	71574.629	110.924	6.14E-5	0.000E0	0	0.00E0	
CH3C5N (46 2 46 _ 45 2 45) 	89501	71574.629	110.924	6.14E-5	0.000E0	0	0.00E0	
CH3C5N (46 2 47 _ 45 2 46) 	89501	71574.629	110.924	6.14E-5	0.000E0	0	0.00E0	
CH3C5N (46 1 45 _ 45 1 44) 	89501	71575.843	88.277	6.15E-5	0.000E0	0	0.00E0	
CH3C5N (46 1 46 _ 45 1 45) 	89501	71575.843	88.277	6.15E-5	0.000E0	0	0.00E0	
CH3C5N (46 1 47 _ 45 1 46) 	89501	71575.844	88.277	6.15E-5	0.000E0	0	0.00E0	
CH3C5N (46 0 45 _ 45 0 44) 	89501	71576.248	80.727	6.15E-5	0.000E0	0	0.00E0	
CH3C5N (46 0 46 _ 45 0 45) 	89501	71576.248	80.727	6.15E-5	0.000E0	0	0.00E0	
CH3C5N (46 0 47 _ 45 0 46) 	89501	71576.249	80.727	6.16E-5	0.000E0	0	0.00E0	
CH3COCH3 (18 11 8 0 _ 17 14 4 1) 	58003	71581.434	137.642	3.50E-9	0.000E0	0	0.00E0	
C3H7CN (31 3 29 0 _ 32 0 32 0) 	69002	71585.123	114.575	1.30E-8	0.000E0	0	0.00E0	
CH3C6H (46 3 _ 45 3) 	88502	71591.230	149.134	4.73E-6	0.000E0	0	0.00E0	
CH3C6H (46 2 _ 45 2) 	88502	71593.273	111.145	4.74E-6	0.000E0	0	0.00E0	
CH3C6H (46 1 _ 45 1) 	88502	71594.499	88.348	4.75E-6	0.000E0	0	0.00E0	
C6H- (26 _ 25) 	73502	71594.601	46.387	1.41E-4	0.000E0	0	0.00E0	
CH3C6H (46 0 _ 45 0) 	88502	71594.908	80.748	4.75E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (3 3 1 1 1 _ 2 0 2 1 2) 	60524	71607.484	119.267	2.51E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 7 7 0 0 _ 13 6 8 0 0) 	60523	71621.577	78.438	2.14E-6	0.000E0	0	0.00E0	
C2H5CN (8 5 4 _ 7 5 3) 	55001	71643.155	43.275	1.82E-5	0.000E0	0	0.00E0	
C2H5CN (8 5 3 _ 7 5 2) 	55001	71643.155	43.275	1.82E-5	0.000E0	0	0.00E0	
C2H5CN (8 6 2 _ 7 6 1) 	55001	71643.155	55.5	1.31E-5	0.000E0	0	0.00E0	
C2H5CN (8 6 3 _ 7 6 2) 	55001	71643.155	55.5	1.31E-5	0.000E0	0	0.00E0	
C2H5CN (8 7 1 _ 7 7 0) 	55001	71648.164	69.94	7.00E-6	0.000E0	0	0.00E0	
C2H5CN (8 7 2 _ 7 7 1) 	55001	71648.164	69.94	7.00E-6	0.000E0	0	0.00E0	
C2H5CN (8 4 5 _ 7 4 4) 	55001	71652.182	33.27	2.24E-5	0.000E0	0	0.00E0	
C2H5CN (8 4 4 _ 7 4 3) 	55001	71652.182	33.27	2.24E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 7 7 0 0 _ 13 5 8 0 0) 	60523	71657.507	78.438	3.76E-7	0.000E0	0	0.00E0	
CH3COCH3 (18 14 4 0 _ 18 13 6 1) 	58003	71658.813	147.089	1.35E-6	0.000E0	0	0.00E0	
C2H5CN (8 3 6 _ 7 3 5) 	55001	71675.057	25.487	2.57E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 11 7 0 0 _ 17 9 8 0 0) 	60523	71685.235	138.923	3.25E-7	0.000E0	0	0.00E0	
C2H5CN (8 3 5 _ 7 3 4) 	55001	71692.770	25.489	2.57E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 4 14 0 1 _ 19 3 17 0 2) 	60523	71696.520	122.47	1.51E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 4 14 0 1 _ 19 2 17 0 2) 	60523	71696.520	122.47	6.84E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 5 14 0 1 _ 19 2 17 0 2) 	60523	71696.520	122.47	1.51E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 5 14 0 1 _ 19 3 17 0 2) 	60523	71696.520	122.47	6.84E-10	0.000E0	0	0.00E0	
CH3OCHO (6 3 4 1 _ 6 2 5 1) 	60003	71703.519	18.387	4.52E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 9 9 0 0 _ 16 12 5 0 0) 	60523	71721.795	131.835	1.28E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 7 1 0 2 _ 7 5 2 0 1) 	60523	71722.928	29.524	1.47E-8	0.000E0	0	0.00E0	
CH3OCHO (6 3 4 0 _ 6 2 5 0) 	60003	71744.009	18.371	4.63E-7	0.000E0	0	0.00E0	
C3H7CN (6 3 3 1 _ 5 2 4 1) 	69002	71746.733	141.076	4.10E-6	0.000E0	0	0.00E0	
CH3OCH3 (16 1 16 0 _ 15 2 13 0) 	46008	71791.230	120.305	5.56E-8	0.000E0	0	0.00E0	
CH3OCH3 (16 1 16 1 _ 15 2 13 1) 	46008	71795.140	120.305	5.56E-8	0.000E0	0	0.00E0	
CH3OCH3 (16 1 16 2 _ 15 2 13 2) 	46008	71799.000	120.305	5.56E-8	0.000E0	0	0.00E0	
CH3OCH3 (16 1 16 3 _ 15 2 13 3) 	46008	71799.000	120.305	5.56E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 5 3 1 0 _ 8 3 5 1 0) 	60524	71800.691	138.437	3.65E-8	0.000E0	0	0.00E0	
CH3COCH3 (7 5 3 1 _ 6 6 1 2) 	58003	71801.181	23.224	2.00E-7	0.000E0	0	0.00E0	
C3H7CN (7 3 5 0 _ 8 2 6 0) 	69002	71832.036	15.209	2.61E-7	0.000E0	0	0.00E0	
CH3CHO (17 2 16 1 _ 16 3 13 2) 	44003	71844.942	149.972	3.17E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 4 3 0 0 _ 6 6 1 0 0) 	60523	71860.905	25.574	2.40E-9	0.000E0	0	0.00E0	
HC5N, v=0 (27 _ 26) 	75503	71889.595	48.303	3.98E-5	0.000E0	0	0.00E0	
C2H3CN (18 1 17 0 18 _ 17 2 16 0 18) 	53001	71902.481	81.649	1.41E-9	0.000E0	0	0.00E0	
C2H3CN (18 1 17 0 17 _ 17 2 16 0 16) 	53001	71903.809	81.649	4.55E-7	0.000E0	0	0.00E0	
C2H3CN (18 1 17 0 19 _ 17 2 16 0 18) 	53001	71903.811	81.649	4.57E-7	0.000E0	0	0.00E0	
C2H3CN (18 1 17 0 18 _ 17 2 16 0 17) 	53001	71903.836	81.649	4.55E-7	0.000E0	0	0.00E0	
C2H3CN (18 1 17 0 17 _ 17 2 16 0 17) 	53001	71905.207	81.649	1.49E-9	0.000E0	0	0.00E0	
C2H5OH,v=0 (1 0 1 1 _ 1 1 1 0) 	46524	71918.966	62.363	2.56E-6	0.000E0	0	0.00E0	
C3H7CN (7 3 4 0 _ 8 2 7 0) 	69002	71929.533	15.209	2.62E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 6 2 1 0 _ 7 3 4 1 0) 	60524	71931.836	132.449	3.38E-8	0.000E0	0	0.00E0	
CH3COCH3 (6 1 5 1 _ 5 2 4 1) 	58003	71932.955	13.649	1.21E-5	0.000E0	0	0.00E0	
CH3COCH3 (6 1 5 1 _ 5 2 4 2) 	58003	71934.080	13.649	1.21E-5	0.000E0	0	0.00E0	
CH3COCH3 (6 1 5 0 _ 5 2 4 1) 	58003	71957.269	13.546	1.21E-5	0.000E0	0	0.00E0	
CH3COCH3 (17 14 3 1 _ 17 13 4 1) 	58003	71959.011	134.26	7.26E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 7 7 0 2 _ 13 6 8 0 1) 	60523	71962.184	78.164	2.17E-6	0.000E0	0	0.00E0	
C2H5CN (4 2 3 _ 4 1 4) 	55001	71970.135	8.746	1.45E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (10 1 9 2 _ 10 0 10 2) 	46524	71971.848	48.733	2.33E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 5 8 1 _ 13 4 9 1) 	58003	71973.514	67.504	7.23E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 5 8 1 _ 13 4 9 2) 	58003	71974.131	67.504	7.23E-6	0.000E0	0	0.00E0	
CH3COCH3 (6 1 5 0 _ 5 2 4 0) 	58003	71980.946	13.443	1.21E-5	0.000E0	0	0.00E0	
CH3OCHO (14 4 10 2 _ 14 3 11 2) 	60003	71988.638	73.465	7.18E-7	0.000E0	0	0.00E0	
CH3COCH3 (13 13 1 1 _ 13 12 2 2) 	58003	71988.706	86.976	2.42E-6	0.000E0	0	0.00E0	
CH3OCHO (8 2 7 1 _ 8 1 8 1) 	60003	71991.137	23.609	3.25E-7	0.000E0	0	0.00E0	
CH3OCHO (14 4 10 0 _ 14 3 11 0) 	60003	71996.487	73.455	7.18E-7	0.000E0	0	0.00E0	
CH3COCH3 (6 4 2 1 _ 5 5 1 2) 	58003	71998.600	17.539	3.03E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 9 4 0 0 _ 11 11 1 0 0) 	60523	72000.603	73.546	3.81E-10	0.000E0	0	0.00E0	
C2H5CN (6 1 6 _ 5 0 5) 	55001	72004.910	9.886	1.86E-6	0.000E0	0	0.00E0	
CH3SH,v=0-2 (10 2 8 1 _ 11 0 11 1) 	48510	72013.114	84.899	2.03E-10	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 2 _ 7 3 4 2) 	46008	72015.891	41.61	8.62E-8	0.000E0	0	0.00E0	
CH3COCH3 (13 6 8 1 _ 13 5 9 1) 	58003	72016.900	67.507	7.25E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 6 8 1 _ 13 5 9 2) 	58003	72016.920	67.507	7.25E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 7 7 0 2 _ 13 5 8 0 1) 	60523	72021.319	78.164	3.93E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 9 9 0 0 _ 17 13 4 0 0) 	60523	72023.159	149.375	2.71E-10	0.000E0	0	0.00E0	
CH3OCHO (8 2 7 0 _ 8 1 8 0) 	60003	72025.090	23.592	3.25E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 1 _ 7 3 4 1) 	46008	72025.150	41.61	9.53E-8	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 3 _ 7 3 4 3) 	46008	72026.210	41.61	1.95E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 0 _ 7 3 4 0) 	46008	72033.950	41.611	1.95E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 1 _ 7 3 4 1) 	46008	72035.060	41.611	1.00E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 2 _ 7 3 4 2) 	46008	72035.625	41.611	1.09E-7	0.000E0	0	0.00E0	
DCO+ (1 _ 0) 	30510	72039.312	3.457	2.21E-5	0.000E0	0	0.00E0	
CH3OCHO (10 8 3 1 _ 11 7 5 1) 	60003	72047.651	74.917	2.75E-8	0.000E0	0	0.00E0	
CH3COCH3 (6 2 5 1 _ 5 1 4 2) 	58003	72050.157	13.65	1.21E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 3 2 0 0 _ 4 4 1 0 0) 	60523	72050.177	14.039	1.60E-7	0.000E0	0	0.00E0	
CH3COCH3 (6 2 5 1 _ 5 1 4 1) 	58003	72051.081	13.65	1.21E-5	0.000E0	0	0.00E0	
CH3COCH3 (17 14 4 1 _ 17 13 5 2) 	58003	72051.748	134.156	7.27E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 5 8 0 _ 13 4 9 1) 	58003	72073.067	67.436	7.27E-6	0.000E0	0	0.00E0	
CH3COCH3 (6 2 5 0 _ 5 1 4 1) 	58003	72077.255	13.547	1.21E-5	0.000E0	0	0.00E0	
C2H5CN (19 4 15 _ 20 2 18) 	55001	72081.501	99.557	8.37E-9	0.000E0	0	0.00E0	
CH3OCHO (10 8 2 2 _ 11 7 4 2) 	60003	72091.746	74.937	2.75E-8	0.000E0	0	0.00E0	
CH3COCH3 (6 2 5 0 _ 5 1 4 0) 	58003	72103.819	13.444	1.21E-5	0.000E0	0	0.00E0	
C2H5CN (8 2 6 _ 7 2 5) 	55001	72108.613	19.977	2.85E-5	0.000E0	0	0.00E0	
CH3OCHO (10 8 3 0 _ 11 7 4 0) 	60003	72116.938	74.922	2.76E-8	0.000E0	0	0.00E0	
CH3OCHO (10 8 2 0 _ 11 7 5 0) 	60003	72116.938	74.922	2.76E-8	0.000E0	0	0.00E0	
CH3COCH3 (13 6 8 0 _ 13 5 9 1) 	58003	72117.514	67.438	7.28E-6	0.000E0	0	0.00E0	
CH3CHO (5 2 4 1 _ 6 0 6 2) 	44003	72121.934	22.911	2.11E-9	0.000E0	0	0.00E0	
CH3COCH3 (13 13 0 1 _ 13 12 1 1) 	58003	72129.050	87.099	2.44E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 13 1 1 _ 13 12 2 1) 	58003	72131.912	87.099	2.44E-6	0.000E0	0	0.00E0	
C2H3CN (11 2 9 0 10 _ 12 0 12 0 11) 	53001	72134.929	38.802	1.11E-8	0.000E0	0	0.00E0	
C2H3CN (11 2 9 0 12 _ 12 0 12 0 13) 	53001	72134.930	38.802	1.10E-8	0.000E0	0	0.00E0	
C2H3CN (11 2 9 0 11 _ 12 0 12 0 12) 	53001	72135.106	38.802	1.10E-8	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 2 _ 7 3 5 2) 	46008	72153.842	41.61	1.10E-7	0.000E0	0	0.00E0	
C8H (61 -1 61.5 62 _ 60 1 60.5 61) 	97501	72155.606	108.114	9.16E-5	0.000E0	0	0.00E0	
C8H (61 -1 61.5 61 _ 60 1 60.5 60) 	97501	72155.624	108.114	9.16E-5	0.000E0	0	0.00E0	
C8H (61 1 61.5 62 _ 60 -1 60.5 61) 	97501	72157.632	108.116	9.16E-5	0.000E0	0	0.00E0	
C8H (61 1 61.5 61 _ 60 -1 60.5 60) 	97501	72157.649	108.116	9.16E-5	0.000E0	0	0.00E0	
CH3OCH3 (6 4 3 1 _ 7 3 5 1) 	46008	72162.111	41.61	1.01E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 3 _ 7 3 5 3) 	46008	72163.230	41.611	1.96E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 2 2 1 _ 4 1 3 1) 	46524	72164.069	74.791	2.71E-8	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 0 _ 7 3 5 0) 	46008	72171.000	41.611	1.97E-7	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 1 _ 7 3 5 1) 	46008	72172.000	41.611	9.59E-8	0.000E0	0	0.00E0	
CH3COCH3 (13 5 8 0 _ 13 4 9 0) 	58003	72172.182	67.368	7.31E-6	0.000E0	0	0.00E0	
CH3OCH3 (6 4 2 2 _ 7 3 5 2) 	46008	72173.570	41.611	8.68E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 6 1 1 1 _ 6 3 4 1 2) 	60524	72179.267	133.435	1.31E-9	0.000E0	0	0.00E0	
HC7N (64 64 _ 63 64) 	99002	72186.507	112.599	1.33E-8	0.000E0	0	0.00E0	
HC7N (64 63 _ 63 62) 	99002	72188.040	112.599	5.43E-5	0.000E0	0	0.00E0	
HC7N (64 64 _ 63 63) 	99002	72188.040	112.599	5.43E-5	0.000E0	0	0.00E0	
HC7N (64 65 _ 63 64) 	99002	72188.040	112.599	5.43E-5	0.000E0	0	0.00E0	
HC7N (64 63 _ 63 63) 	99002	72189.597	112.599	1.35E-8	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 3 _ 2 0 2 0 3) 	53001	72189.850	4.83	1.10E-7	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 2 _ 2 0 2 0 1) 	53001	72190.560	4.83	8.32E-7	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 4 _ 2 0 2 0 3) 	53001	72190.873	4.83	9.91E-7	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 3 _ 2 0 2 0 2) 	53001	72191.080	4.83	8.81E-7	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 2 _ 2 0 2 0 3) 	53001	72191.219	4.83	4.40E-9	0.000E0	0	0.00E0	
C2H3CN (3 1 3 0 2 _ 2 0 2 0 2) 	53001	72192.441	4.83	1.54E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 6 1 1 1 _ 6 2 4 1 2) 	60524	72200.681	133.435	2.19E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 12 2 0 1 _ 14 11 3 0 2) 	60523	72206.034	104.266	1.68E-6	0.000E0	0	0.00E0	
CH3COCH3 (13 6 8 0 _ 13 5 9 0) 	58003	72217.997	67.371	7.32E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (8 3 6 1 _ 9 2 8 0) 	46524	72260.112	102.555	2.77E-7	0.000E0	0	0.00E0	
CH3COCH3 (13 13 0 1 _ 13 12 1 2) 	58003	72274.551	87.223	2.45E-6	0.000E0	0	0.00E0	
CH3OCHO (19 3 16 0 _ 18 5 13 0) 	60003	72279.678	122.252	3.20E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 10 5 0 2 _ 14 8 6 0 1) 	60523	72283.154	97.696	1.79E-7	0.000E0	0	0.00E0	
